Raub,"Stra©¬enraub,
Handtaschen-raub","K?rper-verletzungen 
-insgesamt-",Gef?hrl. und schwere K?rper-verletzung,"Freiheits-beraubung, N?tigung,
Bedrohung, Nachstellung","Diebstahl 
-insgesamt-",Diebstahl von Kraftwagen,"Diebstahl 
an/aus Kfz","Fahrrad-
diebstahl","Wohnraum-
einbruch","Branddelikte 
-insgesamt-","Brand-
stiftung",Sach-besch?digung -insgesamt-,Sach-besch?digung durch Graffiti,Rauschgift-delikte,Kieztaten
927,546,"8,885","2,646","3,700","39,391",543,"5,397","4,372",780,473,150,"6,492","1,142","2,705","20,743"
77,53,508,118,237,"2,569",34,324,331,29,19,5,374,76,112,"1,630"
66,32,638,189,258,"2,992",10,232,295,32,18,4,564,135,140,"1,447"
186,110,"2,123",682,674,"10,609",69,826,998,154,88,25,"1,405",245,563,"4,241"
25,15,299,85,169,"1,803",21,187,456,86,17,5,444,74,57,901
59,30,603,173,276,"2,131",64,373,329,77,42,17,491,81,164,"1,400"
77,43,"1,089",249,398,"4,588",38,282,421,65,69,32,686,111,513,"2,299"
90,56,805,228,346,"3,062",65,463,268,60,34,10,501,75,92,"1,797"
82,46,828,302,426,"2,788",63,442,326,110,69,22,710,191,303,"1,903"
59,25,701,198,275,"3,389",83,998,361,87,49,11,463,29,104,"1,814"
156,96,"1,075",343,455,"4,145",66,"1,010",482,78,48,13,676,103,539,"2,668"
50,40,216,79,186,"1,315",30,260,105,2,20,6,178,22,118,643
"1,007",636,"5,895","2,120","2,036","26,441",315,"4,395","3,879",567,343,97,"5,372",843,"3,850","13,709"
163,85,"1,019",396,413,"4,026",60,691,478,56,73,11,797,99,925,"2,342"
143,82,"1,036",345,371,"5,122",80,825,995,117,75,17,"1,145",196,296,"2,325"
112,73,591,246,181,"2,693",23,600,276,36,27,12,356,28,564,"1,230"
252,178,614,309,182,"3,646",33,"1,292",521,63,45,19,598,75,862,"1,451"
32,18,309,74,134,"1,352",25,119,223,75,7,4,295,22,64,862
92,64,765,240,227,"3,005",20,240,323,83,24,9,516,103,248,"1,633"
45,26,359,102,173,"1,683",29,132,299,62,37,6,484,62,96,"1,025"
125,77,"1,075",365,313,"4,142",37,345,658,74,46,16,"1,077",254,747,"2,568"
43,33,127,43,42,772,8,151,106,1,9,3,104,4,48,273
379,237,"3,866",967,"1,976","17,897",654,"2,031","3,072",796,297,73,"4,582",902,714,"10,431"
12,6,277,70,138,665,17,93,56,13,21,9,235,46,25,513
9,6,161,34,112,669,43,108,117,48,16,4,178,22,23,376
8,7,116,25,53,374,32,86,42,31,8,0,93,5,14,243
9,2,88,20,46,274,12,33,56,40,10,5,157,27,7,248
14,6,144,35,62,671,18,86,51,51,15,2,188,24,8,319
11,6,90,28,80,493,42,81,58,68,17,3,122,10,15,275
46,27,289,79,149,"1,553",44,129,324,88,14,2,348,71,47,822
22,10,250,53,133,"1,153",73,169,232,60,19,8,345,62,23,741
32,20,296,68,189,"1,497",66,174,258,69,30,7,393,79,37,956
12,7,185,32,97,579,41,112,63,38,19,4,225,14,12,517
48,39,358,90,171,"1,607",45,117,287,42,19,4,390,126,116,992
12,7,198,50,100,"1,519",37,131,311,52,16,2,245,38,52,712
15,9,198,52,82,"1,059",21,53,236,18,10,0,303,100,58,607
57,34,435,103,227,"2,621",70,320,251,77,36,10,497,94,101,"1,107"
37,26,504,160,128,"1,492",24,95,328,42,17,2,448,106,80,"1,003"
21,13,219,51,142,"1,289",45,144,322,58,22,8,348,72,46,829
14,12,58,17,67,382,24,100,80,1,8,3,67,6,50,171
475,304,"4,975","1,293","2,394","24,097",785,"4,937","2,871",969,234,101,"4,410",833,990,"14,058"
23,11,389,84,217,973,75,318,44,37,26,13,213,11,334,908
21,15,323,139,60,694,31,242,48,50,12,4,211,70,23,571
34,19,278,55,242,"1,738",71,410,160,78,12,8,341,49,30,955
46,32,514,112,300,"2,361",72,408,433,90,36,11,621,170,96,"1,522"
32,23,318,93,122,978,41,161,112,18,15,9,241,39,35,731
76,42,758,186,323,"4,047",70,570,556,105,44,15,671,118,94,"2,017"
15,10,158,26,119,993,49,361,57,140,9,5,240,53,16,657
21,9,248,50,117,"1,200",87,246,214,81,7,4,242,30,28,770
41,28,327,72,192,"2,293",79,535,249,78,16,7,301,32,33,"1,130"
83,51,"1,142",346,368,"5,452",89,942,464,142,28,14,778,184,207,"3,085"
55,37,414,101,271,"2,753",92,547,464,148,25,9,468,70,81,"1,451"
28,27,106,29,63,615,29,197,70,2,4,2,83,7,13,261
270,168,"3,206",748,"1,549","10,686",562,"2,162",724,485,214,75,"2,349",237,496,"7,811"
15,6,242,49,132,959,75,201,62,41,20,6,235,8,33,734
